.000,23644.000
32530.000,0.000,30421.000
32652.000,0.000,28970.000
33882.000,0.000,30631.000
37661.000,0.000,32523.000
39299.000,0.000,32633.000
38443.000,0.000,35315.000
39021.000,0.000,39335.000
38857.000,0.000,39388.000
33889.000,0.000,37656.000
32151.000,0.000,38189.000
32111.000,0.000,37344.000
30729.000,0.000,33109.000
29326.000,0.000,32186.000
29651.000,0.000,32132.000
31541.000,0.000,31651.000
31157.000,0.000,30863.000
31313.000,0.000,31031.000
32357.000,0.000,31133.000
32601.000,0.000,29677.000
32721.000,0.000,29483.000
36456.000,0.000,32422.000
38978.000,0.000,32597.000
38776.000,0.000,33282.000
38523.000,0.000,38629.000
39298.000,0.000,39719.000
36588.000,0.000,38179.000
32261.000,0.000,37948.000
32072.000,0.000,37914.000
31848.000,0.000,35105.000
29584.000,0.000,32269.000
29062.000,0.000,32151.000
31005.000,0.000,32034.000
31452.000,0.000,31275.000
31074.000,0.000,30736.000
